region,population,area_sq_mi,pop_density_per_sq_mi,net_migration,infant_mortality_per_1000_births,gdp_per_capita,literacy_percent,phones_per_1000,arable_percent,crops_percent,climate,birthrate,deathrate,industry,service,country
ASIA (EX. NEAR EAST),31056997,647500,48,23.06,16307,700,360,3.2,1213,0.22,1,466,2034,0.24,0.38,Afghanistan
EASTERN EUROPE,3581655,28748,124.6,-4.93,2152,4500,865,71.2,2109,4.42,3,1511,522,1.88,5.79,Albania
NORTHERN AFRICA,32930091,2381740,13.8,-0.39,31,6000,700,78.1,322,0.25,1,1714,461,0.06,2.98,Algeria
OCEANIA,57794,199,290.4,-20.71,927,8000,970,259.5,10,0.15,2,2246,327,1.696875,4.73375,American Samoa
WESTERN EUROPE,71201,468,152.1,0.66,405,19000,1000,497.2,222,0,3,871,625,1.5945833333333335,4.9262500000000005,Andorra
SUB-SAHARAN AFRICA,12127071,1246700,9.7,0,19119,1900,420,7.8,241,0.24,3.4791666666666665,4511,242,6.58,2.46,Angola
LATIN AMER. & CARIB,13477,102,132.1,10.76,2103,8600,950,460,0,0,2,1417,534,0.18,0.78,Anguilla
LATIN AMER. & CARIB,69108,443,156,-6.15,1946,11000,890,549.9,1818,4.55,2,1693,537,0.22,7.43,Antigua & Barbuda
LATIN AMER. & CARIB,39921833,2766890,14.4,0.61,1518,11200,971,220.4,1231,0.48,3,1673,755,3.58,5.47,Argentina
C.W. OF IND. STATES,2976372,29800,99.9,-6.47,2328,3500,986,195.7,1755,0.23,4,1207,823,3.43,4.18,Armenia
LATIN AMER. & CARIB,71891,193,372.5,0,589,28000,970,516.1,1053,0,2,1103,668,3.33,6.63,Aruba
OCEANIA,20264082,7686850,2.6,3.98,469,29000,1000,565.5,655,0.04,1,1214,751,2.62,0.07,Australia
WESTERN EUROPE,8192880,83870,97.7,0.02,466,30000,980,452.2,1691,0.86,3,874,976,3.04,6.78,Austria
C.W. OF IND. STATES,7961619,86600,91.9,-0.49,8174,3400,970,137.1,1963,2.71,1,2074,975,4.57,4.02,Azerbaijan
LATIN AMER. & CARIB,303770,13940,21.8,-0.22,2521,16700,956,460.6,8,0.04,2,1757,905,0.07,0.09,"Bahamas, The"
NEAR EAST,698585,665,1050.5,1.05,1727,16900,891,281.3,282,5.63,1,178,414,3.87,6.08,Bahrain
ASIA (EX. NEAR EAST),147365352,144000,1023.4,-0.71,626,1900,431,7.3,6211,3.07,2,298,827,1.98,6.03,Bangladesh
LATIN AMER. & CARIB,279912,431,649.5,-0.31,125,15700,974,481.9,3721,2.33,2,1271,867,0.16,0.78,Barbados
C.W. OF IND. STATES,10293011,207600,49.6,2.54,1337,6100,996,319.1,2955,0.06,4,1116,1402,3.16,5.91,Belarus
WESTERN EUROPE,10379067,30528,340,1.23,468,29100,980,462.6,2328,0.04,3,1038,1027,0.24,7.49,Belgium
LATIN AMER. & CARIB,287730,22966,12.5,0,2569,4900,941,115.7,285,1.71,2,2884,572,1.52,6.12,Belize
SUB-SAHARAN AFRICA,7862944,112620,69.8,0,85,1100,409,9.7,1808,0.24,2,3885,1222,1.38,5.46,Benin
NORTHERN AMERICA,65773,53,1241,2.49,853,36000,980,851.4,20,0,2,114,774,0.01,0.89,Bermuda
ASIA (EX. NEAR EAST),2279723,47000,48.5,0,10044,1300,422,14.3,309,0.43,2,3365,127,3.79,3.63,Bhutan
LATIN AMER. & CARIB,8989046,1098580,8.2,-1.32,5311,2400,872,71.9,267,0.19,15,233,753,3.52,0.52,Bolivia
EASTERN EUROPE,4498976,51129,88,0.31,2105,6100,970.8888888888889,215.4,136,2.96,4,877,827,3.08,0.55,Bosnia & Herzegovina
SUB-SAHARAN AFRICA,1639833,600370,2.7,0,5458,9000,798,80.5,65,0.01,1,2308,295,4.69,5.07,Botswana
LATIN AMER. & CARIB,188078227,8511965,22.1,-0.03,2961,7600,864,225.3,696,0.09,2,1656,617,0.04,5.16,Brazil
LATIN AMER. & CARIB,23098,153,151,10.01,1805,16000,978,506.5,20,6.67,2,1489,442,0.62,0.92,British Virgin Is.
ASIA (EX. NEAR EAST),379444,5770,65.8,3.59,1261,18600,939,237.2,57,0.76,2,1879,345,5.61,4.03,Brunei
EASTERN EUROPE,7385367,110910,66.6,-4.58,2055,7600,986,336.3,4002,1.92,3,965,1427,3.04,6.03,Bulgaria
SUB-SAHARAN AFRICA,13902972,274200,50.7,0,9757,1100,266,7,1443,0.19,2,4562,156,1.96,4.82,Burkina Faso
ASIA (EX. NEAR EAST),47382633,678500,69.8,-0.18,6724,1800,853,10.1,1519,0.97,2,1791,983,0.82,3.53,Burma
